Title: Young Stellar Objects in the Gould Belt 
Authors: Dunham M.M., Allen L.E., Evans N.J., Broekhoven-Fiene H., Cieza L.A., 
         Francesco J.D., Gutermuth R.A., Harvey P.M., Hatchell J., Heiderman A.,
         Huard T.L., Johnstone D., Kirk J.M., Matthews B.C., Miller J.F., 
         Peterson D.E., Young K.E. 
Table: Properties of the c2d+GB YSOs
================================================================================
Byte-by-byte Description of file: apjs519129t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label   Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---    Index   Index
   6- 21 A16    ---    Cloud   Cloud identifier
  23- 38 A16    ---    ID      SSTc2d or SSTgb + Spitzer source name  
 629 Aquila           J183032.9-015252 12.4   -1.30  380.     0.0023    -1.61  440.     0.0036  N - 
 630 Aquila           J183033.1-033953 10.5   -1.59 1500.     5.3       -2.12 1900.    18.      N - 
 631 Aquila           J183033.1-020705 13.8   -0.34  890.     0.033     -0.78 1400.     0.094   N - 
 632 Aquila           J183033.1-022058 25.4   -1.42 1100.     0.66      -1.93 1700.     5.9     N - 
 633 Aquila           J183033.2-015256 12.4   -1.38 1100.     0.49      -2.55 2300.     2.4     N - 
 634 Aquila           J183033.2-021125 12.4   -0.30  800.     0.068     -0.48  950.     0.14    N - 
 635 Aquila           J183034.2-031843 11.4   -2.11 1600.     1.6       -2.45 2000.     6.0     Y - 
 636 Aquila           J183034.4-022708 12.4   -0.78  600.     0.0062    -1.00  620.     0.011   N - 
 637 Aquila           J183034.9-035111  5.0   -1.49 1700.     0.018     -1.77 1900.     0.032   N - 
 638 Aquila           J183035.0-020856 17.9   -0.35  830.     0.0095    -0.86 1200.     0.031   N - 
 639 Aquila           J183035.3-030759  4.8   -1.41 1500.     0.0042    -1.81 1800.     0.0071  N - 
 640 Aquila           J183035.5-023035 16.1   -0.66  860.     4.8       -0.72 1300.    15.      N - 
 641 Aquila           J183035.9-020649 13.2   -0.98 1200.     0.067     -1.45 1700.     0.24    N - 
 642 Aquila           J183035.9-015229 30.5   -1.56  930.     0.11      -1.76 1200.     0.79    Y - 
 643 Aquila           J183036.3-030601 12.4   -0.19  680.     4.9        0.05  820.     9.6     N - 
 644 Aquila           J183037.3-020403 12.7   -1.32 1200.     0.0052    -1.87 1500.     0.015   N - 
 645 Aquila           J183037.5-020853 12.4    0.75  320.     0.13       0.48  410.     0.20    N - 
 646 Aquila           J183037.6-020840 12.4    0.40  390.     0.97       0.47  500.     1.5     N - 
 647 Aquila           J183037.6-021419 18.8   -0.64  870.     0.013     -1.05 1200.     0.044   N - 
 648 Aquila           J183037.9-024137 11.9   -2.06 1600.     2.5       -2.50 2000.    10.0     N - 
 649 Aquila           J183038.3-020843 12.4    0.91  250.     0.0089     0.72  270.     0.013   N - 
 650 Aquila           J183038.4-020816 24.3   -1.75 1300.     0.12      -2.53 1900.     1.4     N - 
 651 Aquila           J183038.5-015705 29.5   -1.48  980.     0.063     -1.87 1300.     0.48    Y - 
 652 Aquila           J183038.7-023643 13.4   -2.03 1600.     1.1       -2.52 2000.     5.0     N - 
 653 Aquila           J183038.8-013724  7.9   -2.19 1700.     3.8       -2.56 2000.    10.      Y - 
 654 Aquila           J183040.2-025548  8.5   -2.15 1700.     0.44      -2.48 2000.     1.2     N - 
 655 Aquila           J183040.4-025803  9.5   -2.03 1600.     0.51      -2.38 2000.     1.6     N - 
 656 Aquila           J183041.0-034002 12.4   -1.78 1400.     5.2       -2.15 1900.    20.      N - 
 657 Aquila           J183041.2-022019 13.0   -0.91  150.     0.043     -1.39  340.     0.052   N - 
 658 Aquila           J183041.2-024233 10.4   -2.18 1600.     0.50      -2.55 2000.     1.7     Y - 
 659 Aquila           J183041.3-021646 18.3   -1.90 1400.     0.34      -2.49 1900.     2.4     N - 
 660 Aquila           J183041.9-020352 17.8   -0.54  970.     0.035     -1.22 1600.     0.15    N - 
 661 Aquila           J183042.7-031039 12.6   -1.81 1400.     0.92      -1.98 1800.     3.3     N - 
 662 Aquila           J183043.0-020625 17.5   -0.72  950.     0.014     -1.34 1300.     0.048   N - 
 663 Aquila           J183043.5-021637 19.7   -2.01 1400.     0.13      -2.58 1900.     1.1     N - 
 664 Aquila           J183043.8-021417 14.4   -1.16 1200.     0.035     -1.44 1700.     0.13    N - 
 665 Aquila           J183044.3-020918 14.0   -0.74 1100.     0.017     -1.29 1700.     0.062   N - 
 666 Aquila           J183045.2-020733 14.4   -0.75  890.     0.0057    -1.49 1300.     0.016   N - 
 667 Aquila           J183045.2-025920 10.1   -1.83 1600.     0.68      -2.33 2000.     2.2     N - 
 668 Aquila           J183045.9-020509 17.3   -1.11 1100.     0.014     -1.96 1400.     0.054   N - 
 669 Aquila           J183046.3-022154 13.0   -1.54 1200.     0.0044    -2.03 1500.     0.013   N - 
 670 Aquila           J183046.6-021033 19.8   -1.59 1300.     0.11      -2.32 1900.     0.86    N - 
 671 Aquila           J183046.9-015651 12.4    0.83  240.     0.026      0.63  260.     0.036   N - 
 672 Aquila           J183046.9-015645 12.4    1.18  120.     0.16       0.87  140.     0.20    N Y 
 673 Aquila           J183046.9-022613 12.8   -0.85 1100.     0.24      -1.21 1600.     0.78    N - 
 674 Aquila           J183047.0-010939  8.0   -2.13 1700.     0.91      -2.47 2000.     2.5     N - 
 675 Aquila           J183048.0-014454 10.9   -2.24 1700.     0.22      -2.66 2000.     0.82    Y - 
 676 Aquila           J183048.1-032704 10.0   -1.99 1700.     0.50      -2.50 2000.     1.7     N - 
 677 Aquila           J183048.2-020948  4.9   -1.83 1800.     0.14      -2.21 2000.     0.27    N - 
 678 Aquila           J183048.3-022941 14.3   -2.06 1500.     0.018     -2.56 2000.     0.091   N - 
 679 Aquila           J183048.4-025845  6.3   -2.30 1800.     0.050     -2.57 2000.     0.11    N - 
 680 Aquila           J183048.5-022413 23.8   -1.68 1200.     1.4       -2.27 1800.    14.      N - 
 681 Aquila           J183048.7-015601 12.4    0.98  190.     0.28       0.80  250.     0.36    N Y 
 682 Aquila           J183048.8-020713 12.4   -0.11  720.     0.017     -0.37  890.     0.035   N - 
 683 Aquila           J183048.9-021642 19.4   -1.62 1300.     0.61      -2.32 1900.     4.5     N - 
 684 Aquila           J183049.2-012634  8.2   -2.16 1700.     0.87      -2.51 2000.     2.4     N - 
 685 Aquila           J183049.3-022700 21.2   -1.59 1200.     0.72      -2.04 1800.     5.4     N - 
 686 Aquila           J183049.4-014044  9.9   -2.05 1700.     0.42      -2.47 2000.     1.4     N - 
 687 Aquila           J183049.5-021117  8.5   -0.72 1300.     0.0088    -1.22 1700.     0.021   N - 
 688 Aquila           J183049.6-010924  7.5   -1.89 1700.     0.36      -2.28 2000.     0.90    N - 
 689 Aquila           J183049.9-013304 10.1   -1.49 1400.     2.9       -1.73 1800.     8.5     N - 
 690 Aquila           J183050.2-015351 41.9   -1.17  900.     1.3       -2.06 1400.    24.      N - 
 691 Aquila           J183050.4-024405 10.6   -1.96 1600.     0.82      -2.27 1900.     2.7     N - 
 692 Aquila           J183050.5-031744  9.1   -1.96 1700.     0.35      -2.39 2000.     1.0     N - 
 693 Aquila           J183050.7-024708  7.2   -1.08 1400.     0.0075    -1.32 1800.     0.016   N - 
 694 Aquila           J183051.7-032119 10.5   -1.82 1600.     3.0       -2.35 2000.    10.      N - 
 695 Aquila           J183052.0-020711 17.4   -1.14 1200.     0.037     -1.79 1800.     0.20    N - 
 696 Aquila           J183052.1-034313 10.5   -2.03 1600.     1.1       -2.38 2000.     3.6     N - 
 697 Aquila           J183052.8-032213 10.5   -2.03 1500.     2.8       -2.13 1900.     8.9     Y - 
 698 Aquila           J183053.5-020922  2.3   -1.64 1800.     0.078     -1.79 1900.     0.10    N - 
 699 Aquila           J183054.2-035526  9.9   -2.27 1700.     1.7       -2.64 2000.     5.5     Y - 
 700 Aquila           J183054.2-025716  9.3   -2.13 1600.     2.0       -2.37 1900.     5.9     Y - 
 701 Aquila           J183054.3-025710  7.5   -2.34 1800.     0.12      -2.63 2000.     0.32    Y - 
 702 Aquila           J183054.9-020401 12.4   -0.24  700.     0.015     -1.05 1000.     0.030   N - 
 703 Aquila           J183055.4-020327 12.5   -0.44  740.     0.16      -0.74  870.     0.32    N - 
 704 Aquila           J183055.8-031354 11.4   -1.99 1500.     0.61      -2.24 1900.     2.2     N - 
 705 Aquila           J183057.1-020543 12.4   -2.04 2000.     0.084     -3.10 2600.     0.68    N - 
 706 Aquila           J183057.5-020917 17.0   -1.39 1400.     0.013     -2.27 1900.     0.076   N - 
 707 Aquila           J183057.6-021420 12.2   -2.09 1600.     0.033     -2.47 2000.     0.13    N - 
 708 Aquila           J183058.1-020802 10.1   -0.52 1200.     0.047     -1.13 1600.     0.12    N - 
 709 Aquila           J183058.4-020612 16.9   -1.05 1100.     0.0060    -1.93 1500.     0.024   N - 
 710 Aquila           J183058.4-021032 11.9   -0.63 1100.     0.026     -1.05 1600.     0.075   N - 
 711 Aquila           J183058.4-021224 22.4   -0.62  940.     1.5       -1.46 1600.    10.      N - 
 712 Aquila           J183059.6-031342 10.2   -2.09 1600.     2.5       -2.53 2000.     8.4     N - 
 713 Aquila           J183059.7-031652 10.3   -2.05 1600.     0.97      -2.46 2000.     3.3     N - 
 714 Aquila           J183100.0-011013  9.2   -2.16 1700.     1.2       -2.52 2000.     3.8     Y - 
 715 Aquila           J183100.1-022702 37.9   -1.20  980.     0.24      -2.26 1500.     4.3     N - 
 716 Aquila           J183100.2-020338 12.4    0.05  910.     0.035     -0.97 1300.     0.089   N - 
 717 Aquila           J183100.3-020736 10.7   -0.90 1400.     0.037     -1.67 1800.     0.11    N - 
 718 Aquila           J183100.4-020638 20.8   -1.33 1300.     0.029     -2.38 1900.     0.23    N - 
 719 Aquila           J183100.6-015103 27.2   -2.15 1300.     0.076     -3.00 2000.     1.3     Y - 
 720 Aquila           J183100.6-020602  8.1   -2.04 1600.     0.032     -2.45 2000.     0.085   N - 
 721 Aquila           J183101.0-020854 10.1   -1.22 1400.     0.025     -1.69 1800.     0.073   N - 
 722 Aquila           J183101.8-021125 14.5   -1.35 1400.     0.013     -2.02 1900.     0.060   N - 
 723 Aquila           J183101.9-020708 20.4   -1.54  680.     0.40      -2.30 1700.     1.8     N - 
 724 Aquila           J183102.6-030030  9.4   -2.01 1600.     0.63      -2.39 2000.     2.0     N - 
 725 Aquila           J183102.7-020959 12.4    0.16  600.     0.075      0.17  730.     0.14    N - 
 726 Aquila           J183103.0-032609  9.8   -2.27 1700.     0.76      -2.61 2000.     2.5     Y - 
 727 Aquila           J183104.1-020751 24.6   -0.54  750.     0.027     -2.04 1400.     0.15    N - 
 728 Aquila           J183104.1-021053 21.0   -1.25 1200.     0.49      -2.02 1900.     3.8     N - 
 729 Aquila           J183104.2-020917 12.3   -0.58 1000.     0.048     -0.88 1500.     0.14    N - 
 730 Aquila           J183104.2-020650 10.1   -0.39 1100.     0.091     -1.04 1600.     0.23    N - 
 731 Aquila           J183104.6-031250  8.0   -0.96 1400.     0.021     -1.38 1700.     0.049   N - 
 732 Aquila           J183105.2-021516 15.7   -1.78 1500.     0.048     -2.43 1900.     0.27    N - 
 733 Aquila           J183105.5-031959 12.6   -0.76 1100.     1.7       -1.10 1600.     5.3     N - 
 734 Aquila           J183106.1-013247  9.7   -2.24 1700.     1.6       -2.64 2000.     5.1     Y - 
 735 Aquila           J183106.6-035148  7.6   -2.08 1700.     0.72      -2.39 2000.     1.8     N - 
 736 Aquila           J183107.0-021551 21.5   -1.51 1200.     0.012     -2.53 1600.     0.078   N - 
 737 Aquila           J183108.1-024017  5.8   -2.16 1700.     0.020     -2.37 1900.     0.041   N - 
 738 Aquila           J183108.1-034126  9.8   -2.27 1700.     0.25      -2.63 2000.     0.82    Y - 
 739 Aquila           J183108.7-033057 10.2   -2.04 1600.     0.82      -2.42 2000.     2.7     N - 
 740 Aquila           J183108.9-021602 12.5   -0.80  990.     0.0066    -1.19 1200.     0.016   N - 
 741 Aquila           J183109.1-033512  9.6   -1.92 1700.     0.56      -2.40 2000.     1.8     N - 
 742 Aquila           J183109.5-030228 10.4   -2.11 1600.     0.97      -2.47 2000.     3.3     Y - 
 743 Aquila           J183109.6-034939  9.7   -1.96 1600.     0.34      -2.40 2000.     1.1     N - 
 744 Aquila           J183110.8-034450 10.1   -2.16 1700.     2.2       -2.58 2000.     7.6     N - 
 745 Aquila           J183111.0-020600 12.4    1.47  280.     0.18       1.22  320.     0.27    N - 
 746 Aquila           J183111.3-021908 19.3   -1.19  890.     0.0053    -1.96 1100.     0.018   N - 
 747 Aquila           J183112.0-023446  9.8   -1.05 1400.     0.012     -1.57 1800.     0.034   N - 
 748 Aquila           J183112.1-020957 12.0   -0.95 1300.     0.030     -1.54 1700.     0.098   N - 
 749 Aquila           J183112.3-024323  4.8   -0.34 1500.     0.0089    -1.00 1800.     0.015   N - 
 750 Aquila           J183113.8-034903  9.7   -2.18 1600.     6.8       -2.48 2000.    22.      Y - 
 751 Aquila           J183114.0-021456  8.7   -0.82 1300.     0.012     -1.32 1700.     0.029   N - 
 752 Aquila           J183114.6-021144 12.4   -0.20  770.     0.075     -0.61 1100.     0.16    N - 
 753 Aquila           J183114.6-014708 11.1   -2.12 1600.     2.1       -2.54 2000.     7.7     Y - 
 754 Aquila           J183114.7-033321 11.9   -1.47 1400.     1.00      -1.83 1800.     3.4     N - 
 755 Aquila           J183115.0-020105 12.4    0.15  450.     0.034     -0.78  640.     0.058   N - 
 756 Aquila           J183115.1-033318  6.6   -1.91 1700.     0.024     -2.33 1900.     0.053   N - 
 757 Aquila           J183115.4-034717  9.2   -1.87 1700.    14.        -2.43 2000.    43.      N - 
 758 Aquila           J183115.9-021700  9.2   -0.64  990.     0.0077    -0.97 1200.     0.015   N - 
 759 Aquila           J183116.1-012512  7.5   -1.89 1700.     0.81      -2.20 2000.     2.0     N - 
 760 Aquila           J183116.3-033643  9.3   -2.10 1700.     0.96      -2.49 2000.     3.0     N - 
 761 Aquila           J183116.3-014857 16.2   -1.13 1100.     0.0038    -1.96 1500.     0.015   N - 
 762 Aquila           J183116.7-014833 15.4   -2.09 1500.     0.17      -2.62 2000.     0.95    Y - 
 763 Aquila           J183116.8-021136 21.6   -1.18 1100.     0.081     -2.32 1800.     0.62    N - 
 764 Aquila           J183117.0-020911 27.0   -1.12 1100.     0.11      -2.40 1800.     1.3     N - 
 765 Aquila           J183117.3-020046 10.1   -1.02 1400.     0.20      -2.07 1800.     0.60    N - 
 766 Aquila           J183117.5-012429  5.1   -2.09 1600.     0.33      -1.91 1800.     0.60    Y - 
 767 Aquila           J183117.5-024837 10.8   -2.11 1600.     3.7       -2.54 2000.    13.      N - 
 768 Aquila           J183117.7-020847 26.8   -0.96  990.     0.55      -1.70 1700.     5.0     N - 
 769 Aquila           J183118.0-015648 10.7   -0.33  890.     0.011     -1.01 1400.     0.025   N - 
 770 Aquila           J183118.1-020058 29.6   -1.44 1200.     1.1       -2.46 1900.    18.      N - 
 771 Aquila           J183118.6-014139  6.4   -2.01 1700.     0.11      -2.17 1900.     0.24    Y - 
 772 Aquila           J183118.9-033205 11.2   -2.07 1600.     1.9       -2.44 2000.     6.9     N - 
 773 Aquila           J183119.1-020745 15.2   -0.69 1000.     0.33      -1.27 1600.     1.2     N - 
 774 Aquila           J183119.3-021229  1.4   -2.29 2000.     2.6       -2.45 2000.     3.1     N - 
 775 Aquila           J183119.4-020739 12.4    1.44  230.     0.22       1.04  260.     0.32    N - 
 776 Aquila           J183119.7-033135 10.5   -1.89 1600.     2.3       -2.43 2000.     7.8     N - 
 777 Aquila           J183119.7-020111 18.9   -0.72 1100.     0.080     -1.60 1700.     0.42    N - 
 778 Aquila           J183119.8-020816 13.1   -1.03 1200.     0.27      -1.65 1700.     0.93    N - 
 779 Aquila           J183120.1-015642 23.3   -1.32 1200.     0.031     -2.43 1500.     0.21    N - 
 780 Aquila           J183120.4-030740 11.2   -1.50 1300.     1.1       -1.52 1700.     3.3     N - 
 781 Aquila           J183120.4-021553 12.4   -0.16 1000.     0.012     -0.81 1800.     0.041   N - 
 782 Aquila           J183121.1-033906  9.6   -2.02 1700.     3.0       -2.49 2000.     9.7     N - 
 783 Aquila           J183121.3-015335 12.4   -0.12  580.     0.012     -0.87  830.     0.023   N - 
 784 Aquila           J183121.6-023023 16.5   -1.40 1200.     1.8       -1.79 1700.     8.6     N - 
 785 Aquila           J183121.9-015034 16.5   -1.91 1500.     0.14      -2.57 1900.     0.83    N - 
 786 Aquila           J183122.9-015424 21.8   -1.06 1100.     0.92      -1.69 1700.     6.2     N - 
 787 Aquila           J183123.4-033553 10.4   -2.19 1600.     0.13      -2.50 2000.     0.44    Y - 
 788 Aquila           J183124.1-025124  9.7   -1.82 1600.     0.26      -2.18 1900.     0.79    N - 
 789 Aquila           J183124.5-021409 23.9   -0.53  850.     0.027     -1.17 1200.     0.13    N - 
 790 Aquila           J183124.6-014251  9.5   -2.04 1500.     0.19      -2.17 1900.     0.55    Y - 
 791 Aquila           J183124.6-014520 10.3   -0.85 1300.     0.38      -1.45 1700.     1.1     N - 
 792 Aquila           J183124.8-014601 11.4   -1.91 1500.     1.7       -2.14 1900.     5.8     N - 
 793 Aquila           J183124.9-015231 20.6   -1.18 1200.     0.031     -2.08 1900.     0.24    N - 
 794 Aquila           J183124.9-030009 11.0   -1.19 1500.     2.5       -2.00 1900.     8.6     N - 
 795 Aquila           J183125.0-034724 10.1   -1.81 1500.     1.4       -2.09 1900.     4.2     N - 
 796 Aquila           J183125.2-024855 14.8   -1.73 1300.     2.4       -1.96 1800.    10.      N - 
 797 Aquila           J183125.5-033451  9.7   -2.11 1600.     0.61      -2.41 2000.     1.9     N - 
 798 Aquila           J183125.5-015107 16.5   -1.21 1100.     0.0078    -1.90 1400.     0.029   N - 
 799 Aquila           J183125.9-021546  8.1   -0.79 1300.     0.50      -1.24 1700.     1.1     N - 
 800 Aquila           J183126.3-025539  9.9   -2.09 1600.     5.0       -2.46 2000.    16.      N - 
 801 Aquila           J183126.3-020118 14.4   -0.35  880.     0.18      -0.61 1100.     0.44    N - 
 802 Aquila           J183126.4-021035 16.5   -0.77 1000.     0.067     -1.39 1600.     0.28    N - 
 803 Aquila           J183126.9-032147 10.3   -2.05 1500.     1.5       -2.22 1900.     4.7     Y - 
 804 Aquila           J183127.0-021202 16.9   -0.58 1000.     0.034     -1.41 1600.     0.14    N - 
 805 Aquila           J183127.2-012137 12.0   -2.08 1600.     1.1       -2.46 2000.     4.5     Y - 
 806 Aquila           J183127.3-014204 10.2   -1.80 1500.     0.31      -2.15 1900.     0.98    N - 
 807 Aquila           J183128.3-012516 11.5   -1.02 1100.     1.6       -1.30 1600.     4.5     N - 
 808 Aquila           J183128.7-015912 14.8   -1.63 1400.     0.089     -2.37 1900.     0.44    N - 
 809 Aquila           J183128.9-020956 12.7   -0.72 1100.     0.074     -1.22 1600.     0.23    N - 
 810 Aquila           J183129.1-010438  7.2   -2.17 1700.     1.2       -2.46 2000.     2.9     N - 
 811 Aquila           J183129.1-020154 12.3   -0.40  670.     0.021     -1.35 1300.     0.047   N - 
 812 Aquila           J183129.4-034709  0.2   -2.51 2000.     0.075     -2.51 2000.     0.078   Y - 
 813 Aquila           J183129.8-020744 12.4    0.00  790.     0.72      -0.58 1200.     1.7     N - 
 814 Aquila           J183130.0-022435 14.4   -0.55 1100.     0.011     -1.40 1800.     0.045   N - 
 815 Aquila           J183130.0-012945  7.7   -2.23 1700.     2.7       -2.59 2000.     7.0     Y - 
 816 Aquila           J183130.1-022329 18.5   -1.82 1400.     2.0       -2.47 1900.    15.      N - 
 817 Aquila           J183130.3-021825  8.9   -0.86 1400.     0.023     -1.49 1800.     0.058   N - 
 818 Aquila           J183130.5-020055 12.4    0.37  320.     0.012     -0.21  430.     0.019   N - 
 819 Aquila           J183130.7-022748 13.4   -1.79 1500.     0.23      -2.43 2000.     1.1     N - 
 820 Aquila           J183131.1-015159 16.4   -1.17 1000.     0.0068    -2.14 1500.     0.025   N - 
 821 Aquila           J183131.1-021653 22.5   -1.02 1000.     0.013     -1.84 1300.     0.066   N - 
 822 Aquila           J183131.8-034004  9.9   -2.06 1600.     0.32      -2.33 2000.     1.0     N - 
 823 Aquila           J183132.0-030745  8.0   -2.10 1700.     1.1       -2.49 2000.     2.9     N - 
 824 Aquila           J183132.3-014107 10.5   -1.77 1500.     0.75      -2.00 1900.     2.4     N - 
 825 Aquila           J183133.4-015518 21.8   -1.34 1200.     0.033     -2.45 1900.     0.27    N - 
 826 Aquila           J183133.8-021229 12.4    0.46  560.     0.029     -0.07 1100.     0.060   N - 
 827 Aquila           J183134.3-020851 13.9   -0.53 1100.     0.087     -1.19 1600.     0.30    N - 
 828 Aquila           J183134.5-021512 12.4   -0.03  650.     0.083     -0.09  860.     0.16    N - 
 829 Aquila           J183134.9-015708 19.0   -1.20 1200.     0.014     -2.33 1600.     0.069   N - 
 830 Aquila           J183135.0-023139 13.0   -1.85 1500.     0.73      -2.23 1900.     3.1     N - 
 831 Aquila           J183135.2-011334 11.6   -2.16 1600.     2.0       -2.60 2000.     7.7     Y - 
 832 Aquila           J183135.3-021254 12.4   -0.24  950.     0.098     -0.85 1500.     0.28    N - 
 833 Aquila           J183135.9-021330 12.4    0.40  540.     0.20       0.31  750.     0.36    N - 
 834 Aquila           J183136.1-023118 14.8   -1.80 1300.     0.90      -2.02 1800.     4.0     N - 
 835 Aquila           J183136.1-021448 12.4    1.71  100.     0.54       1.38  120.     0.63    N - 
 836 Aquila           J183136.2-015343 10.4   -0.95 1300.     0.022     -1.42 1800.     0.062   N - 
 837 Aquila           J183136.3-022120 12.4   -0.17  750.     0.025     -0.64 1000.     0.052   N - 
 838 Aquila           J183136.4-020921 13.8   -0.86 1100.     0.16      -1.10 1600.     0.50    N - 
 839 Aquila           J183136.5-015732  8.6   -1.58 1600.     0.16      -2.30 1900.     0.45    N - 
 840 Aquila           J183136.6-011211 10.8   -1.22 1300.     4.1       -1.44 1700.    12.      N - 
 841 Aquila           J183137.5-020503 12.4   -0.29  930.     0.15      -0.72 1300.     0.38    N - 
 842 Aquila           J183137.6-021455 12.4    0.36  520.     0.090     -0.33  770.     0.18    N - 
 843 Aquila           J183138.2-021952 11.9   -2.03 1600.     0.030     -2.64 2000.     0.12    N - 
 844 Aquila           J183138.2-022218  9.0   -1.83 1600.     0.025     -2.40 2000.     0.073   N - 
 845 Aquila           J183138.5-010457  6.4   -1.72 1700.     0.24      -2.19 2000.     0.52    N - 
 846 Aquila           J183138.5-015025 20.5   -1.55 1200.     2.5       -1.93 1700.    16.      N - 
 847 Aquila           J183138.6-015334 12.1   -1.02 1200.     0.0042    -1.67 1500.     0.012   N - 
 848 Aquila           J183138.6-021853  7.5   -1.09 1400.     0.010     -1.70 1800.     0.023   N - 
 849 Aquila           J183138.7-022044 10.5   -0.46  710.     0.068     -1.23  880.     0.12    N - 
 850 Aquila           J183138.8-022218 14.2   -1.46 1500.     0.028     -2.33 1900.     0.14    N - 
 851 Aquila           J183138.8-031550  6.3   -2.23 1800.     0.039     -2.53 2000.     0.088   N - 
 852 Aquila           J183138.9-022055  9.7   -1.49 1500.     0.044     -1.95 1900.     0.13    N - 
 853 Aquila           J183139.7-020512 14.5   -0.48  960.     0.22      -0.98 1500.     0.71    N - 
 854 Aquila           J183139.7-025658  9.0   -2.11 1700.     0.37      -2.48 2000.     1.1     N - 
 855 Aquila           J183140.0-020533 15.0   -0.42  930.     0.54      -0.97 1500.     1.8     N - 
 856 Aquila           J183140.4-020814 12.4   -0.22  860.     0.20      -0.27 1100.     0.45    N - 
 857 Aquila           J183140.7-022035 13.3   -0.56 1000.     0.058     -1.18 1600.     0.18    N - 
 858 Aquila           J183140.7-020931  2.5   -1.08 1700.     0.15      -1.65 1900.     0.20    N - 
 859 Aquila           J183140.8-022244 16.0   -1.78 1400.     4.9       -2.35 1900.    28.      N - 
 860 Aquila           J183141.1-012803  8.4   -2.34 1700.     0.16      -2.67 2000.     0.47    Y - 
 861 Aquila           J183141.2-020929 11.4   -0.82 1100.     0.026     -1.02 1500.     0.070   N - 
 862 Aquila           J183141.2-021007 10.4   -0.88 1200.     0.090     -1.20 1600.     0.24    N - 
 863 Aquila           J183141.4-021844 10.6   -1.33 1400.     0.011     -2.10 1800.     0.035   N - 
 864 Aquila           J183141.7-033151 10.5   -2.05 1600.     1.6       -2.33 1900.     5.5     N - 
 865 Aquila           J183141.8-020759 14.4   -0.65  960.     0.12      -0.94 1500.     0.38    N - 
 866 Aquila           J183142.0-021643 17.8   -1.00  980.     0.014     -1.57 1300.     0.047   N - 
 867 Aquila           J183142.1-022109 15.1   -1.51 1200.     0.0088    -2.23 1500.     0.032   N - 
 868 Aquila           J183142.4-020004 29.7   -1.49 1100.     0.22      -2.59 1900.     3.4     N - 
 869 Aquila           J183142.4-015440  8.4   -0.93 1400.     0.014     -1.36 1700.     0.034   N - 
 870 Aquila           J183142.5-033434  9.9   -2.22 1700.     1.1       -2.65 2000.     3.6     Y - 
 871 Aquila           J183142.6-022113 12.7   -0.98 1200.     0.10      -1.50 1700.     0.35    N - 
 872 Aquila           J183142.6-020743 13.8   -0.65 1000.     0.61      -1.20 1600.     2.0     N - 
 873 Aquila           J183142.6-015232 16.7   -1.53 1300.     0.012     -2.56 1900.     0.070   N - 
 874 Aquila           J183143.4-022542 10.1   -1.13 1100.     0.0067    -1.38 1200.     0.014   N - 
 875 Aquila           J183143.5-032148  9.9   -2.02 1600.     4.0       -2.43 2000.    13.      N - 
 876 Aquila           J183144.0-022824 21.2   -1.98 1400.     0.55      -2.66 2000.     5.3     N - 
 877 Aquila           J183144.1-023539  5.6   -0.54 1200.     0.17      -0.74 1500.     0.28    N - 
 878 Aquila           J183144.1-021618  8.0   -0.36 1000.     0.50      -0.70 1400.     1.00    N - 
 879 Aquila           J183144.1-024044 11.0   -2.04 1600.     0.77      -2.34 1900.     2.8     N - 
 880 Aquila           J183144.2-020837 11.5   -1.28 1200.     0.011     -2.16 1800.     0.037   N - 
 881 Aquila           J183144.2-021621 12.4   -0.69  550.     0.075     -0.92  590.     0.13    N - 
 882 Aquila           J183144.3-020743 12.0   -0.88 1100.     0.061     -1.34 1600.     0.18    N - 
 883 Aquila           J183144.4-020745 12.4   -0.65  440.     0.014     -0.93  490.     0.022   N - 
 884 Aquila           J183145.7-021624  9.9   -0.54 1300.     0.0066    -1.20 1800.     0.018   N - 
 885 Aquila           J183145.8-012959  2.2   -2.33 2100.     0.067     -2.40 2200.     0.094   N - 
 886 Aquila           J183145.9-021657  7.3   -1.11 1400.     0.062     -1.45 1800.     0.14    N - 
 887 Aquila           J183146.0-011047  5.3   -0.88 1300.     0.031     -0.96 1600.     0.053   N - 
 888 Aquila           J183146.0-020633 12.8   -0.77 1200.     0.093     -1.40 1700.     0.31    N - 
 889 Aquila           J183146.1-015349 13.2   -1.14 1100.     0.11      -1.36 1600.     0.34    N - 
 890 Aquila           J183146.3-021040 10.6   -0.95 1200.     0.19      -1.43 1700.     0.53    N - 
 891 Aquila           J183146.3-020909  8.1   -0.51 1100.     0.026     -1.02 1500.     0.053   N - 
 892 Aquila           J183146.4-021032  9.6   -0.50 1300.     0.079     -1.33 1700.     0.21    N - 
 893 Aquila           J183147.1-015816  9.4   -2.10 1600.     0.21      -2.50 1900.     0.63    N - 
 894 Aquila           J183147.4-024556 10.5   -1.88 1600.     0.40      -2.43 2000.     1.4     N - 
 895 Aquila           J183147.9-021155  9.8   -1.36 1400.     0.083     -1.74 1800.     0.24    N - 
 896 Aquila           J183147.9-021328  7.1   -1.52 1600.     0.017     -2.23 1900.     0.039   N - 
 897 Aquila           J183148.5-021737 12.4   -0.13  780.     0.024     -0.55 1200.     0.055   N - 
